subject	session	AcqGroup
sub-10129	20180917	1
sub-11765	20190816	1
sub-11752	20201016	1
sub-11753	20190408	1
sub-11753	20201009	1
sub-11753	20220826	1
sub-11754	20190304	1
sub-11754	20210823	1
sub-11757	20200918	1
sub-11758	20190422	1
sub-11759	20190823	1
sub-11760	20210423	1
sub-11760	20220804	1
sub-11761	20190415	1
sub-11765	20221021	1
sub-11751	20220618	1
sub-11766	20191025	1
sub-11767	20190729	1
sub-11768	20190913	1
sub-11769	20201102	1
sub-11769	20220908	1
sub-11770	20190722	1
sub-11770	20210514	1
sub-11770	20221208	1
sub-11772	20190719	1
sub-11779	20191028	1
sub-11779	20211101	1
sub-11780	20190805	1
sub-11781	20190823	1
sub-11781	20210614	1
sub-11752	20190315	1
sub-11751	20201105	1
sub-11722	20220729	1
sub-11732	20190204	1
sub-11724	20190104	1
sub-11724	20201116	1
sub-11724	20220714	1
sub-11725	20181214	1
sub-11725	20211029	1
sub-11726	20190111	1
sub-11727	20181214	1
sub-11727	20201008	1
sub-11727	20230602	1
sub-11728	20210409	1
sub-11729	20190125	1
sub-11731	20190201	1
sub-11731	20200828	1
sub-11732	20210619	1
sub-11751	20190228	1
sub-11733	20190104	1
sub-11734	20190128	1
sub-11734	20201029	1
sub-11734	20220610	1
sub-11735	20190719	1
sub-11738	20190201	1
sub-11742	20190412	1
sub-11742	20220707	1
sub-11743	20190802	1
sub-11747	20190412	1
sub-11748	20190401	1
sub-11750	20190315	1
sub-11750	20201023	1
sub-11781	20221014	1
sub-11782	20190930	1
sub-11782	20220811	1
sub-11822	20220701	1
sub-11810	20221117	1
sub-11811	20200124	1
sub-11812	20200227	1
sub-11813	20191219	1
sub-11813	20210625	1
sub-11813	20230505	1
sub-11815	20200214	1
sub-11815	20211211	1
sub-11815	20230728	1
sub-11816	20200203	1
sub-11818	20201030	1
sub-11818	20221117	1
sub-11819	20220728	1
sub-11823	20210122	1
sub-11784	20190906	1
sub-11823	20221202	1
sub-11824	20210522	1
sub-11834	20210524	1
sub-11834	20230727	1
sub-11865	20210517	1
sub-11865	20220716	1
sub-11868	20211025	1
sub-11873	20220818	1
sub-11875	20220630	1
sub-11890	20221028	1
sub-11898	20221110	1
sub-11904	20230727	1
sub-11910	20230119	1
sub-11945	20230721	1
sub-11810	20191212	1
sub-11808	20220825	1
sub-11808	20200110	1
sub-11807	20210820	1
sub-11785	20200110	1
sub-11786	20190830	1
sub-11787	20191021	1
sub-11788	20200117	1
sub-11788	20230112	1
sub-11789	20191028	1
sub-11790	20190916	1
sub-11790	20210430	1
sub-11791	20191101	1
sub-11793	20230120	1
sub-11793	20230209	1
sub-11794	20191125	1
sub-11795	20190920	1
sub-11796	20190819	1
sub-11796	20230629	1
sub-11798	20190809	1
sub-11798	20210731	1
sub-11799	20190816	1
sub-11799	20210621	1
sub-11799	20230518	1
sub-11801	20190923	1
sub-11801	20220602	1
sub-11802	20190906	1
sub-11802	20210618	1
sub-11803	20191007	1
sub-11803	20210816	1
sub-11805	20191004	1
sub-11806	20190913	1
sub-11807	20200117	1
sub-11723	20181217	1
sub-11722	20181210	1
sub-10173	20180802	1
sub-11655	20180702	1
sub-11638	20180419	1
sub-11640	20180514	1
sub-11641	20180510	1
sub-11641	20191018	1
sub-11645	20191209	1
sub-11647	20180514	1
sub-11648	20180604	1
sub-11648	20191206	1
sub-11649	20180521	1
sub-11650	20180521	1
sub-11651	20190222	1
sub-11653	20180608	1
sub-11656	20180607	1
sub-11633	20180426	1
sub-11656	20191206	1
sub-11657	20180817	1
sub-11658	20180608	1
sub-11658	20200130	1
sub-11661	20180720	1
sub-11662	20180614	1
sub-11664	20180712	1
sub-11665	20180628	1
sub-11667	20180629	1
sub-11668	20180702	1
sub-11668	20180723	1
sub-11668	20210419	1
sub-11668	20220624	1
sub-11669	20180712	1
sub-11634	20180409	1
sub-11632	20191017	1
sub-11718	20220715	1
sub-11515	20201109	1
sub-10173	20210830	1
sub-10195	20191205	1
sub-10202	20200103	1
sub-10202	20210924	1
sub-10644	20180216	1
sub-10644	20191011	1
sub-10997	20180818	1
sub-10997	20200228	1
sub-11299	20180511	1
sub-11323	20180316	1
sub-11323	20191101	1
sub-11323	20211015	1
sub-11390	20180628	1
sub-11451	20180216	1
sub-11543	20180804	1
sub-11632	20180416	1
sub-11561	20190930	1
sub-11561	20210607	1
sub-11561	20221020	1
sub-11565	20191007	1
sub-11575	20190708	1
sub-11575	20210503	1
sub-11599	20191202	1
sub-11626	20180312	1
sub-11627	20180323	1
sub-11629	20180323	1
sub-11629	20191003	1
sub-11630	20180524	1
sub-11630	20191216	1
sub-11631	20180517	1
sub-11670	20180713	1
sub-11670	20200116	1
sub-11670	20210927	1
sub-11698	20181116	1
sub-11700	20190406	1
sub-11700	20201113	1
sub-11701	20181015	1
sub-11702	20181109	1
sub-11702	20211119	1
sub-11702	20230309	1
sub-11703	20181019	1
sub-11704	20181103	1
sub-11706	20190322	1
sub-11707	20190126	1
sub-11707	20201009	1
sub-11707	20220805	1
sub-11708	20181112	1
sub-11710	20181116	1
sub-11672	20180816	1
sub-11710	20200911	1
sub-11711	20181119	1
sub-11713	20181203	1
