label,depth,rate
lh_L_10d,deep,0.00163837713708873
lh_L_10d,middle,0.00106037953525742
lh_L_10d,superficial,0.000563612715842979
lh_L_10pp,deep,0.00158865028633096
lh_L_10pp,middle,0.00100260198839265
lh_L_10pp,superficial,0.000378476993898126
lh_L_10r,deep,0.0014598081013632
lh_L_10r,middle,0.000886973744855425
lh_L_10r,superficial,0.000417822066617215
lh_L_10v,deep,0.00115679313006538
lh_L_10v,middle,0.000609505929533094
lh_L_10v,superficial,0.000112958455063055
lh_L_11l,deep,0.00141484453644293
lh_L_11l,middle,0.00104750487775479
lh_L_11l,superficial,0.000605407968623541
lh_L_13l,deep,0.00131044597689271
lh_L_13l,middle,0.000838319876028638
lh_L_13l,superficial,0.000567188980360731
lh_L_24dd,deep,0.00241989648661509
lh_L_24dd,middle,0.00230446948349419
lh_L_24dd,superficial,0.00163680478497515
lh_L_24dv,deep,0.00194212198001077
lh_L_24dv,middle,0.00191687139713444
lh_L_24dv,superficial,0.00149779329119025
lh_L_33pr,deep,0.00152261836989937
lh_L_33pr,middle,0.0013846060781631
lh_L_33pr,superficial,0.00118189959554959
lh_L_4,deep,0.00301364158173743
lh_L_4,middle,0.00309084832074886
lh_L_4,superficial,0.00249023930512881
lh_L_43,deep,0.00172669324518741
lh_L_43,middle,0.00131790733257454
lh_L_43,superficial,0.000818025862836632
lh_L_44,deep,0.00181995664365645
lh_L_44,middle,0.00149835129205891
lh_L_44,superficial,0.000868238146576153
lh_L_45,deep,0.00163165269041741
lh_L_45,middle,0.00137972737448837
lh_L_45,superficial,0.00100215277144303
lh_L_46,deep,0.00171769669744316
lh_L_46,middle,0.0013791631855837
lh_L_46,superficial,0.000947315725553413
lh_L_47l,deep,0.00165088217796525
lh_L_47l,middle,0.00116713463748213
lh_L_47l,superficial,0.000437053594286853
lh_L_47m,deep,0.0017384798550019
lh_L_47m,middle,0.00129433354505812
lh_L_47m,superficial,0.000903826369986387
lh_L_47s,deep,0.00129539283146005
lh_L_47s,middle,0.000866299699378005
lh_L_47s,superficial,0.000685343412536054
lh_L_55b,deep,0.00310369083035384
lh_L_55b,middle,0.00284050182647229
lh_L_55b,superficial,0.0021067604935464
lh_L_6a,deep,0.00241751855983994
lh_L_6a,middle,0.00234535311707494
lh_L_6a,superficial,0.00186562678326117
lh_L_6d,deep,0.0031353693159462
lh_L_6d,middle,0.00303875390462633
lh_L_6d,superficial,0.00219253046201019
lh_L_6ma,deep,0.00271722753067051
lh_L_6ma,middle,0.00259116956112419
lh_L_6ma,superficial,0.00232286378529945
lh_L_6mp,deep,0.00233787396531148
lh_L_6mp,middle,0.00234673517061743
lh_L_6mp,superficial,0.00188950857087635
lh_L_6r,deep,0.00199911983639794
lh_L_6r,middle,0.0016106603902124
lh_L_6r,superficial,0.0010868099260921
lh_L_6v,deep,0.00302306168242683
lh_L_6v,middle,0.00245640014036336
lh_L_6v,superficial,0.00152309912640537
lh_L_8Ad,deep,0.00232751311610923
lh_L_8Ad,middle,0.00194313659535653
lh_L_8Ad,superficial,0.00144095520622932
lh_L_8Av,deep,0.00237124428489433
lh_L_8Av,middle,0.00209026998039204
lh_L_8Av,superficial,0.00162655542112968
lh_L_8BL,deep,0.00187739519445205
lh_L_8BL,middle,0.00146807478374755
lh_L_8BL,superficial,0.00113815659518747
lh_L_8BM,deep,0.00192214338303188
lh_L_8BM,middle,0.00160628705357459
lh_L_8BM,superficial,0.00115483989820456
lh_L_8C,deep,0.00247368375200994
lh_L_8C,middle,0.00213731032257053
lh_L_8C,superficial,0.00154324310096266
lh_L_9-46d,deep,0.00171692549146261
lh_L_9-46d,middle,0.00135519769902069
lh_L_9-46d,superficial,0.000979603353210231
lh_L_9a,deep,0.00163863706772302
lh_L_9a,middle,0.00117465014937952
lh_L_9a,superficial,0.000664100060668267
lh_L_9m,deep,0.00152554077605118
lh_L_9m,middle,0.00110122867842993
lh_L_9m,superficial,0.000666155535785816
lh_L_9p,deep,0.0018097630760916
lh_L_9p,middle,0.00127564800390705
lh_L_9p,superficial,0.000761072344759698
lh_L_AAIC,deep,0.000648022581451482
lh_L_AAIC,middle,0.000294773031592011
lh_L_AAIC,superficial,9.37912958908093e-05
lh_L_AVI,deep,0.00129277179832544
lh_L_AVI,middle,0.00102143745415684
lh_L_AVI,superficial,0.000743444761111332
lh_L_FEF,deep,0.00288880493108707
lh_L_FEF,middle,0.00269038669930042
lh_L_FEF,superficial,0.00206314720796172
lh_L_FOP1,deep,0.00192679367523153
lh_L_FOP1,middle,0.00153961948583263
lh_L_FOP1,superficial,0.00118113200612271
lh_L_FOP2,deep,0.00133596210272096
lh_L_FOP2,middle,0.0012272355472425
lh_L_FOP2,superficial,0.00105068804622323
lh_L_FOP3,deep,0.00145322561716642
lh_L_FOP3,middle,0.00116323263354279
lh_L_FOP3,superficial,0.000887020620741658
lh_L_FOP4,deep,0.00134416641697339
lh_L_FOP4,middle,0.00123140177807383
lh_L_FOP4,superficial,0.00120080789339178
lh_L_FOP5,deep,0.00134073056559593
lh_L_FOP5,middle,0.0012660909269287
lh_L_FOP5,superficial,0.000966878541618976
lh_L_IFJa,deep,0.00240102349011802
lh_L_IFJa,middle,0.00199915926074
