orig_parcelname,GAM.smooth.Fvalue,GAM.smooth.pvalue,smooth.change.onset,smooth.peak.change,smooth.decrease.onset,smooth.decrease.offset,smooth.increase.onset,smooth.increase.offset,smooth.last.change,depth,label
R_4_ROI,41.1547331405984,0,10.5875,10.7520854271357,NA,NA,10.5875,26.7168718592965,26.607148241206,superficial,rh_R_4
R_4_ROI,65.7070370005321,0,10.5875,10.9166708542714,NA,NA,10.5875,26.2779773869347,26.1682537688442,middle,rh_R_4
R_4_ROI,70.8547465117437,0,10.5875,10.9166708542714,NA,NA,10.5875,26.3877010050251,26.2779773869347,deep,rh_R_4
R_FEF_ROI,74.4568722852444,0,10.5875,11.081256281407,NA,NA,10.5875,29.7891331658291,29.6794095477387,deep,rh_R_FEF
R_FEF_ROI,46.3582214614499,0,10.5875,10.9715326633166,NA,NA,10.5875,27.5946608040201,27.4849371859297,superficial,rh_R_FEF
R_FEF_ROI,72.2216326325666,0,10.5875,11.081256281407,NA,NA,10.5875,28.0335552763819,27.9238316582915,middle,rh_R_FEF
R_PEF_ROI,58.3988103917719,0,10.5875,10.8618090452261,NA,NA,10.5875,31.9836055276382,31.8738819095477,deep,rh_R_PEF
R_PEF_ROI,53.5767261612858,0,10.5875,11.081256281407,NA,NA,10.5875,27.4849371859297,27.3752135678392,middle,rh_R_PEF
R_PEF_ROI,33.0381847404124,0,10.5875,10.9166708542714,NA,NA,10.5875,25.619635678392,25.5099120603015,superficial,rh_R_PEF
R_55b_ROI,63.0894229557544,0,10.5875,11.1361180904523,NA,NA,10.5875,26.4974246231156,26.3877010050251,deep,rh_R_55b
R_55b_ROI,59.1563736853272,0,10.5875,10.7520854271357,NA,NA,10.5875,25.9488065326633,25.8390829145729,middle,rh_R_55b
R_55b_ROI,30.6713410124386,0,10.5875,11.3555653266332,NA,NA,10.5875,25.619635678392,25.5099120603015,superficial,rh_R_55b
R_SFL_ROI,7.6469285656547,0.000814902548917862,10.5875,10.5875,NA,NA,10.5875,19.0362185929648,18.9264949748744,deep,rh_R_SFL
R_SFL_ROI,6.93225591994398,0.00157709993866295,10.5875,11.0263944723618,NA,NA,10.5875,18.9264949748744,18.8167713567839,middle,rh_R_SFL
