label,orig_parcelname,mean.R1,T1wT2w,MTsat,MBP,PC1
lh_L_V1,L_V1_ROI,0.577693488372093,1.8367303609848,890.14547902098,1.0983225107193,-3.04388116456694
lh_L_MST,L_MST_ROI,0.558511893687708,1.67946195602417,900.032664335664,0.790707945823669,-2.09166370407955
lh_L_V6,L_V6_ROI,0.565829102990033,1.74614322185516,899.245576923077,0.802336037158966,-2.45654811568019
lh_L_V2,L_V2_ROI,0.570515149501661,1.772092461586,888.795136363636,1.22904098033905,-2.76752078912676
lh_L_V3,L_V3_ROI,0.571892691029901,1.74603891372681,895.247699300699,1.33458423614502,-2.80787423717625
lh_L_V4,L_V4_ROI,0.566978405315614,1.68068981170654,901.179933566434,1.42420148849487,-2.61057728676005
lh_L_V8,L_V8_ROI,0.556287109634551,1.59982144832611,880.177639860139,1.22080278396606,-1.67359211807653
lh_L_4,L_4_ROI,0.604659800664452,1.90365254878998,946.896248251748,0.13993626832962,-3.56258472108968
lh_L_3b,L_3b_ROI,0.577135481727574,1.83633029460907,881.819325174825,0.719754636287689,-2.61493007910219
lh_L_FEF,L_FEF_ROI,0.563903455149501,1.679692029953,863.404465034965,-0.0302951280027628,-0.874087831129343
lh_L_PEF,L_PEF_ROI,0.550400199335548,1.65452039241791,850.252937062937,0.026169853284955,-0.571354682027442
lh_L_55b,L_55b_ROI,0.561742990033223,1.63041496276855,844.011297202797,0.0204991269856691,-0.335210374533383
lh_L_V3A,L_V3A_ROI,0.572982724252492,1.78644526004791,911.679916083916,1.17214012145996,-3.16392223524756
lh_L_RSC,L_RSC_ROI,0.581874551495017,1.78069078922272,977.651506993007,-0.0644224286079407,-3.20999990069262
lh_L_POS2,L_POS2_ROI,0.557886910299003,1.64328896999359,881.195856643357,0.0959262847900391,-1.0525297702523
lh_L_V7,L_V7_ROI,0.572771893687707,1.72335159778595,920.580332167832,0.922629594802856,-2.76151150571774
lh_L_IPS1,L_IPS1_ROI,0.563213222591362,1.65077602863312,886.012898601398,0.676736116409302,-1.62289762073355
lh_L_FFC,L_FFC_ROI,0.546544850498339,1.47510576248169,849.754010489511,0.560893058776855,0.0103654696905538
lh_L_V3B,L_V3B_ROI,0.555572159468439,1.68717122077942,897.652192307692,1.22183191776276,-2.43283226236195
lh_L_LO1,L_LO1_ROI,0.561211694352159,1.64032089710236,882.387304195804,1.39094173908234,-2.06483538759338
lh_L_LO2,L_LO2_ROI,0.567805514950165,1.63930821418762,875.145129370629,1.25431942939758,-1.83829804625447
lh_L_PIT,L_PIT_ROI,0.569294485049833,1.60046470165253,868.1843006993,1.3011120557785,-1.55031288004447
lh_L_MT,L_MT_ROI,0.565074617940199,1.68208968639374,898.53501048951,0.980670809745789,-2.23065345555289
lh_L_A1,L_A1_ROI,0.596357740863789,1.80442047119141,913.13398951049,0.2821044921875,-2.59209571056557
