label,depth,rate
lh_L_10d,depth_1,0.000330588867113138
lh_L_10d,depth_2,0.000629663250701234
lh_L_10d,depth_3,0.000859162996860739
lh_L_10d,depth_4,0.00108954447821574
lh_L_10d,depth_5,0.00133610527495468
lh_L_10d,depth_6,0.00157022471985568
lh_L_10d,depth_7,0.00172302876344558
lh_L_10pp,depth_1,0.000250436899150276
lh_L_10pp,depth_2,0.000534203420566383
lh_L_10pp,depth_3,0.000806645312930264
lh_L_10pp,depth_4,0.00105645182436052
lh_L_10pp,depth_5,0.00131367179991239
lh_L_10pp,depth_6,0.001550589146977
lh_L_10pp,depth_7,0.00165879928252955
lh_L_10r,depth_1,0.000264262592713981
lh_L_10r,depth_2,0.000486888851648698
lh_L_10r,depth_3,0.000711311507696037
lh_L_10r,depth_4,0.000949147828729305
lh_L_10r,depth_5,0.00120439055652201
lh_L_10r,depth_6,0.00141518944983328
lh_L_10r,depth_7,0.00150014659110877
lh_L_10v,depth_1,-8.62457088311751e-05
lh_L_10v,depth_2,0.00018068510124087
lh_L_10v,depth_3,0.000406166969812156
lh_L_10v,depth_4,0.000629821785865875
lh_L_10v,depth_5,0.000852398790703868
lh_L_10v,depth_6,0.00105454527319778
lh_L_10v,depth_7,0.00116651892713515
lh_L_11l,depth_1,0.000598186685503646
lh_L_11l,depth_2,0.000745929045947976
lh_L_11l,depth_3,0.000914769540769613
lh_L_11l,depth_4,0.0011033054637319
lh_L_11l,depth_5,0.00127439460747498
lh_L_11l,depth_6,0.00140881244102097
lh_L_11l,depth_7,0.00144227336179309
lh_L_13l,depth_1,0.000549433554374801
lh_L_13l,depth_2,0.000651343692605615
lh_L_13l,depth_3,0.000747571419471561
lh_L_13l,depth_4,0.000895612191824896
lh_L_13l,depth_5,0.00108427023983139
lh_L_13l,depth_6,0.00127166416561825
lh_L_13l,depth_7,0.00135547238711035
lh_L_24dd,depth_1,0.00129900847317739
lh_L_24dd,depth_2,0.00174031607652963
lh_L_24dd,depth_3,0.00206781800109459
lh_L_24dd,depth_4,0.00229436877222683
lh_L_24dd,depth_5,0.00242537746058765
lh_L_24dd,depth_6,0.00244909588236746
lh_L_24dd,depth_7,0.00234830780756555
lh_L_24dv,depth_1,0.0013083558850838
lh_L_24dv,depth_2,0.00159755781955177
lh_L_24dv,depth_3,0.00178690861905557
lh_L_24dv,depth_4,0.00190503706964845
lh_L_24dv,depth_5,0.00196857938660207
lh_L_24dv,depth_6,0.00198124062065034
lh_L_24dv,depth_7,0.00193187908077228
lh_L_33pr,depth_1,0.00114293575726545
lh_L_33pr,depth_2,0.0012071298162518
lh_L_33pr,depth_3,0.00129070429122231
lh_L_33pr,depth_4,0.00137807122091403
lh_L_33pr,depth_5,0.0014642692177712
lh_L_33pr,depth_6,0.00152744654422662
lh_L_33pr,depth_7,0.00155662298379934
lh_L_4,depth_1,0.00208301503507206
lh_L_4,depth_2,0.00258318678793209
lh_L_4,depth_3,0.00288388383606101
lh_L_4,depth_4,0.00303717351401082
lh_L_4,depth_5,0.00307792744903534
lh_L_4,depth_6,0.00303114741050878
lh_L_4,depth_7,0.002908344597653
lh_L_43,depth_1,0.000519589004036722
lh_L_43,depth_2,0.00087474832137884
lh_L_43,depth_3,0.00111459579836688
lh_L_43,depth_4,0.00131099980746098
lh_L_43,depth_5,0.00149263949716258
lh_L_43,depth_6,0.00167160787027762
lh_L_43,depth_7,0.00178327063242629
lh_L_44,depth_1,0.000541205458446067
lh_L_44,depth_2,0.000967306333329443
lh_L_44,depth_3,0.00125893324877435
lh_L_44,depth_4,0.00148961661643714
lh_L_44,depth_5,0.00167522685017993
lh_L_44,depth_6,0.00180339459421509
lh_L_44,depth_7,0.00183645084284606
lh_L_45,depth_1,0.000688313524866379
lh_L_45,depth_2,0.00104060498041405
lh_L_45,depth_3,0.00124053076860217
lh_L_45,depth_4,0.001380073934257
lh_L_45,depth_5,0.00151967821561605
lh_L_45,depth_6,0.00165294058713782
lh_L_45,depth_7,0.00171851912760002
lh_L_46,depth_1,0.000765187227920762
lh_L_46,depth_2,0.00102021702232166
lh_L_46,depth_3,0.00122430443623772
lh_L_46,depth_4,0.00140987108765429
lh_L_46,depth_5,0.00158039867403041
lh_L_46,depth_6,0.00170524707158471
lh_L_46,depth_7,0.00174114807838364
lh_L_47l,depth_1,0.000234856622735955
lh_L_47l,depth_2,0.00057948202303318
lh_L_47l,depth_3,0.000889105710242327
lh_L_47l,depth_4,0.00117017033476005
lh_L_47l,depth_5,0.00142716142644084
lh_L_47l,depth_6,0.00162685441052368
lh_L_47l,depth_7,0.00171542793451601
lh_L_47m,depth_1,0.000804875418910103
lh_L_47m,depth_2,0.000984761626496035
lh_L_47m,depth_3,0.00113422163262242
lh_L_47m,depth_4,0.0013105635144359
lh_L_47m,depth_5,0.00151244926674621
lh_L_47m,depth_6,0.00168528739205016
lh_L_47m,depth_7,0.0016983445512634
lh_L_47s,depth_1,0.000565601362909468
lh_L_47s,depth_2,0.000721394503737444
lh_L_47s,depth_3,0.000774087117168004
lh_L_47s,depth_4,0.00087228270795889
lh_L_47s,depth_5,0.00104633722119902
lh_L_47s,depth_6,0.00121247283965535
lh_L_47s,depth_7,0.00128885317005742
lh_L_55b,depth_1,0.00164988491987303
lh_L_55b,depth_2,0.00220954100654854
lh_L_55b,depth_3,0.00257664630002597
lh_L_55b,depth_4,0.00280922963886114
lh_L_55b,depth_5,0.00296879836358551
lh_L_55b,depth_6,0.00306876501355441
lh_L_55b,depth_7,0.00307678344535735
lh_L_6a,depth_1,0.00167263173963042
lh_L_6a,depth_2,0.00194035409436934
lh_L_6a,depth_3,0.00216676243271042
lh_L_6a,depth_4,0.0023325176316077
lh_L_6a,depth_5,0.00242201219149033
lh_L_6a,depth_6,0.00242111171190746
lh_L_6a,depth_7,0.00233360613675472
lh_L_6d,depth_1,0.00175272252903297
lh_L_6d,depth_2,0.00233108712695586
lh_L_6d,depth_3,0.00272556635670095
lh_L_6d,depth_4,0.00295998841980631
lh_L_6d,depth_5,0.00308112177425841
lh_L_6d,depth_6,0.0031077596285272
lh_L_6d,depth_7,0.00305202165452295
lh_L_6ma,depth_1,0.00222483850614917
lh_L_6ma,depth_2,0.00238297179909184
lh_L_6ma,depth_3,0.00250479707722183
lh_L_6ma,depth_4,0.00261184307644787
lh_L_6ma,depth_5,0.00269081483792808
lh_L_6ma,depth_6,0.00274347424479187
lh_L_6ma,depth_7,0.00275197287276721
lh_L_6mp,depth_1,0.00161019201442092
lh_L_6mp,depth_2,0.00196030785988851
lh_L_6mp,depth_3,0.00218297480093869
lh_L_6mp,depth_4,0.0023171889020706
lh_L_6mp,depth_5,0.00238200916868158
lh_L_6mp,depth_6,0.00239215990555611
lh_L_6mp,depth_7,0.00233730099320748
lh_L_6r,depth_1,0.000890680211357349
lh_L_6r,depth_2,0.00117559062805819
lh_L_6r,depth_3,0.00140707311746487
lh_L_6r,depth_4,0.00161863927231779
lh_L_6r,depth_5,0.00180950564012071
lh_L_6r,depth_6,0.00195439107683228
lh_L_6r,depth_7,0.0020159065520564
lh_L_6v,depth_1,0.00118761253293563
lh_L_6v,depth_2,0.00168466183954447
lh_L_6v,depth_3,0.0021155655111465
lh_L_6v,depth_4,0.00243439543026043
lh_L_6v,depth_5,0.00270786431800829
lh_L_6v,depth_6,0.00292387317248617
lh_L_6v,depth_7,0.00302242653945124
lh_L_8Ad,depth_1,0.00130944377390119
lh_L_8Ad,depth_2,0.00155132173642794
lh_L_8Ad,depth_3,0.00176995061693235
lh_L_8Ad,depth_4,0.00199161169271414
lh_L_8Ad,depth_5,0.00219103503942719
lh_L_8Ad,depth_6,0.00231098729386736
lh_L_8Ad,depth_7,0.00230229898014609
lh_L_8Av,depth_1,0.00130128644044507
lh_L_8Av,depth_2,0.00168702273612274
lh_L_8Av,depth_3,0.00190234035968644
lh_L_8Av,depth_4,0.00207252313699886
lh_L_8Av,depth_5,0.00222349261563332
lh_L_8Av,depth_6,0.00233065758806246
lh_L_8Av,depth_7,0.00236236563879807
lh_L_8BL,depth_1,0.000919197170433514
lh_L_8BL,depth_2,0.00117468590266173
