orig_parcelname,GAM.smooth.Fvalue,GAM.smooth.pvalue,smooth.change.onset,smooth.peak.change,smooth.decrease.onset,smooth.decrease.offset,smooth.increase.onset,smooth.increase.offset,smooth.last.change,depth,label
R_4_ROI,28.1367656500598,0,10.5875,11.0263944723618,NA,NA,10.5875,26.3877010050251,26.2779773869347,depth_1,rh_R_4
R_4_ROI,44.7875150343692,0,10.5875,10.9715326633166,NA,NA,10.5875,26.4974246231156,26.3877010050251,depth_2,rh_R_4
R_4_ROI,64.0940834153456,0,10.5875,10.8618090452261,NA,NA,10.5875,26.3877010050251,26.2779773869347,depth_4,rh_R_4
R_4_ROI,68.6095252680844,0,10.5875,10.9166708542714,NA,NA,10.5875,26.3877010050251,26.2779773869347,depth_5,rh_R_4
R_4_ROI,69.8270104621209,0,10.5875,10.8618090452261,NA,NA,10.5875,26.607148241206,26.4974246231156,depth_7,rh_R_4
R_4_ROI,70.8229906936219,0,10.5875,10.9166708542714,NA,NA,10.5875,26.4974246231156,26.3877010050251,depth_6,rh_R_4
R_4_ROI,56.7591791832775,0,10.5875,10.9715326633166,NA,NA,10.5875,26.3877010050251,26.2779773869347,depth_3,rh_R_4
R_FEF_ROI,32.1411288201301,0,10.5875,11.3555653266332,NA,NA,10.5875,27.4849371859297,27.3752135678392,depth_1,rh_R_FEF
R_FEF_ROI,73.1883763158662,0,10.5875,11.3007035175879,NA,NA,10.5875,28.0335552763819,27.9238316582915,depth_4,rh_R_FEF
R_FEF_ROI,74.5028902069022,0,10.5875,10.9715326633166,NA,NA,10.5875,28.8016206030151,28.6918969849246,depth_7,rh_R_FEF
R_FEF_ROI,75.3404906434561,0,10.5875,11.081256281407,NA,NA,10.5875,28.5821733668342,28.4724497487437,depth_6,rh_R_FEF
R_FEF_ROI,52.8300590373953,0,10.5875,11.4652889447236,NA,NA,10.5875,27.7043844221106,27.5946608040201,depth_2,rh_R_FEF
R_FEF_ROI,66.4512077737583,0,10.5875,11.081256281407,NA,NA,10.5875,27.814108040201,27.7043844221106,depth_3,rh_R_FEF
R_FEF_ROI,75.0434548173659,0,10.5875,11.0263944723618,NA,NA,10.5875,28.3627261306533,28.2530025125628,depth_5,rh_R_FEF
R_PEF_ROI,59.1970542508106,0,10.5875,11.1361180904523,NA,NA,10.5875,28.0335552763819,27.9238316582915,depth_6,rh_R_PEF
R_PEF_ROI,58.1937319832916,0,10.5875,11.1909798994975,NA,NA,10.5875,28.1432788944724,28.0335552763819,depth_5,rh_R_PEF
R_PEF_ROI,56.2207640296084,0,10.5875,11.2458417085427,NA,NA,10.5875,27.7043844221106,27.5946608040201,depth_4,rh_R_PEF
R_PEF_ROI,50.3716322602444,0,10.5875,10.9715326633166,NA,NA,10.5875,26.9363190954774,26.8265954773869,depth_3,rh_R_PEF
R_PEF_ROI,61.0211301227749,0,10.5875,11.2458417085427,NA,NA,10.5875,27.814108040201,27.7043844221106,depth_7,rh_R_PEF
R_PEF_ROI,39.5140469494227,0,10.5875,11.3007035175879,NA,NA,10.5875,26.3877010050251,26.2779773869347,depth_2,rh_R_PEF
R_PEF_ROI,25.2088666516949,0,10.5875,11.3007035175879,NA,NA,10.5875,26.607148241206,26.4974246231156,depth_1,rh_R_PEF
R_55b_ROI,63.8269187986622,0,10.5875,10.6972236180905,NA,NA,10.5875,26.4974246231156,26.3877010050251,depth_6,rh_R_55b
R_55b_ROI,59.3523566797462,0,10.5875,11.0263944723618,NA,NA,10.5875,26.0585301507538,25.9488065326633,depth_4,rh_R_55b
R_55b_ROI,63.2667351503025,0,10.5875,10.8618090452261,NA,NA,10.5875,26.3877010050251,26.2779773869347,depth_7,rh_R_55b
R_55b_ROI,62.4811186159377,0,10.5875,11.1361180904523,NA,NA,10.5875,26.2779773869347,26.1682537688442,depth_5,rh_R_55b
R_55b_ROI,51.6624620490395,0,10.5875,10.9715326633166,NA,NA,10.5875,25.8390829145729,25.7293592964824,depth_3,rh_R_55b
R_55b_ROI,17.0269002974362,5.69561956931253e-07,10.5875,11.4652889447236,NA,NA,10.5875,25.619635678392,25.5099120603015,depth_1,rh_R_55b
